"Notes"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Other opioids"	"T40.2"	"Jun., 2017"	"2017/06"	1215	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Jul., 2017"	"2017/07"	1279	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Aug., 2017"	"2017/08"	1212	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Sep., 2017"	"2017/09"	1173	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Oct., 2017"	"2017/10"	1154	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Nov., 2017"	"2017/11"	1147	Not Applicable	Not Applicable
	"Other opioids"	"T40.2"	"Dec., 2017"	"2017/12"	1156	Not Applicable	Not Applicable
"Total"	"Other opioids"	"T40.2"			56180	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Jan., 2014"	"2014/01"	332	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Feb., 2014"	"2014/02"	337	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Mar., 2014"	"2014/03"	295	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Apr., 2014"	"2014/04"	269	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"May, 2014"	"2014/05"	305	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Jun., 2014"	"2014/06"	280	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Jul., 2014"	"2014/07"	306	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Aug., 2014"	"2014/08"	277	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Sep., 2014"	"2014/09"	265	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Oct., 2014"	"2014/10"	294	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Nov., 2014"	"2014/11"	304	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Dec., 2014"	"2014/12"	276	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Jan., 2015"	"2015/01"	338	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Feb., 2015"	"2015/02"	286	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Mar., 2015"	"2015/03"	312	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Apr., 2015"	"2015/04"	281	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"May, 2015"	"2015/05"	325	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Jun., 2015"	"2015/06"	248	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Jul., 2015"	"2015/07"	251	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Aug., 2015"	"2015/08"	284	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Sep., 2015"	"2015/09"	308	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Oct., 2015"	"2015/10"	281	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Nov., 2015"	"2015/11"	241	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Dec., 2015"	"2015/12"	251	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Jan., 2016"	"2016/01"	304	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Feb., 2016"	"2016/02"	301	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Mar., 2016"	"2016/03"	308	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Apr., 2016"	"2016/04"	330	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"May, 2016"	"2016/05"	296	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Jun., 2016"	"2016/06"	314	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Jul., 2016"	"2016/07"	296	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Aug., 2016"	"2016/08"	286	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Sep., 2016"	"2016/09"	257	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Oct., 2016"	"2016/10"	282	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Nov., 2016"	"2016/11"	278	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Dec., 2016"	"2016/12"	268	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Jan., 2017"	"2017/01"	303	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Feb., 2017"	"2017/02"	272	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Mar., 2017"	"2017/03"	313	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Apr., 2017"	"2017/04"	279	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"May, 2017"	"2017/05"	284	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Jun., 2017"	"2017/06"	259	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Jul., 2017"	"2017/07"	264	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Aug., 2017"	"2017/08"	267	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Sep., 2017"	"2017/09"	276	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Oct., 2017"	"2017/10"	255	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Nov., 2017"	"2017/11"	272	Not Applicable	Not Applicable
	"Methadone"	"T40.3"	"Dec., 2017"	"2017/12"	292	Not Applicable	Not Applicable
"Total"	"Methadone"	"T40.3"			13802	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Jan., 2014"	"2014/01"	517	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Feb., 2014"	"2014/02"	435	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Mar., 2014"	"2014/03"	472	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Apr., 2014"	"2014/04"	377	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"May, 2014"	"2014/05"	416	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Jun., 2014"	"2014/06"	419	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Jul., 2014"	"2014/07"	424	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Aug., 2014"	"2014/08"	418	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Sep., 2014"	"2014/09"	433	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Oct., 2014"	"2014/10"	564	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Nov., 2014"	"2014/11"	578	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Dec., 2014"	"2014/12"	642	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Jan., 2015"	"2015/01"	719	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Feb., 2015"	"2015/02"	748	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Mar., 2015"	"2015/03"	791	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Apr., 2015"	"2015/04"	871	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"May, 2015"	"2015/05"	813	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Jun., 2015"	"2015/06"	729	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Jul., 2015"	"2015/07"	757	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Aug., 2015"	"2015/08"	756	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Sep., 2015"	"2015/09"	889	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Oct., 2015"	"2015/10"	1003	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Nov., 2015"	"2015/11"	861	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Dec., 2015"	"2015/12"	866	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Jan., 2016"	"2016/01"	1056	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Feb., 2016"	"2016/02"	1403	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Mar., 2016"	"2016/03"	1550	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Apr., 2016"	"2016/04"	1564	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"May, 2016"	"2016/05"	1571	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Jun., 2016"	"2016/06"	1485	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Jul., 2016"	"2016/07"	1639	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Aug., 2016"	"2016/08"	1604	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Sep., 2016"	"2016/09"	1733	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Oct., 2016"	"2016/10"	1907	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Nov., 2016"	"2016/11"	2018	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Dec., 2016"	"2016/12"	2190	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Jan., 2017"	"2017/01"	2480	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Feb., 2017"	"2017/02"	2312	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Mar., 2017"	"2017/03"	2380	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Apr., 2017"	"2017/04"	2270	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"May, 2017"	"2017/05"	2372	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Jun., 2017"	"2017/06"	2371	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Jul., 2017"	"2017/07"	2316	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Aug., 2017"	"2017/08"	2428	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Sep., 2017"	"2017/09"	2514	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Oct., 2017"	"2017/10"	2433	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Nov., 2017"	"2017/11"	2419	Not Applicable	Not Applicable
	"Other synthetic narcotics"	"T40.4"	"Dec., 2017"	"2017/12"	2574	Not Applicable	Not Applicable
"Total"	"Other synthetic narcotics"	"T40.4"			64087	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Jan., 2014"	"2014/01"	473	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Feb., 2014"	"2014/02"	508	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Mar., 2014"	"2014/03"	543	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Apr., 2014"	"2014/04"	444	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"May, 2014"	"2014/05"	516	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Jun., 2014"	"2014/06"	503	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Jul., 2014"	"2014/07"	491	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Aug., 2014"	"2014/08"	502	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Sep., 2014"	"2014/09"	463	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Oct., 2014"	"2014/10"	512	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Nov., 2014"	"2014/11"	501	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Dec., 2014"	"2014/12"	536	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Jan., 2015"	"2015/01"	540	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Feb., 2015"	"2015/02"	604	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Mar., 2015"	"2015/03"	692	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Apr., 2015"	"2015/04"	609	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"May, 2015"	"2015/05"	598	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Jun., 2015"	"2015/06"	544	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Jul., 2015"	"2015/07"	627	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Aug., 2015"	"2015/08"	628	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Sep., 2015"	"2015/09"	617	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Oct., 2015"	"2015/10"	666	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Nov., 2015"	"2015/11"	626	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Dec., 2015"	"2015/12"	655	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Jan., 2016"	"2016/01"	689	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Feb., 2016"	"2016/02"	788	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Mar., 2016"	"2016/03"	907	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Apr., 2016"	"2016/04"	869	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"May, 2016"	"2016/05"	851	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Jun., 2016"	"2016/06"	834	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Jul., 2016"	"2016/07"	1051	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Aug., 2016"	"2016/08"	1011	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Sep., 2016"	"2016/09"	1014	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Oct., 2016"	"2016/10"	1040	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Nov., 2016"	"2016/11"	1049	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Dec., 2016"	"2016/12"	1098	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Jan., 2017"	"2017/01"	1191	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Feb., 2017"	"2017/02"	1121	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Mar., 2017"	"2017/03"	1253	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Apr., 2017"	"2017/04"	1293	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"May, 2017"	"2017/05"	1233	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Jun., 2017"	"2017/06"	1276	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Jul., 2017"	"2017/07"	1236	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Aug., 2017"	"2017/08"	1318	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Sep., 2017"	"2017/09"	1250	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Oct., 2017"	"2017/10"	1208	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Nov., 2017"	"2017/11"	1187	Not Applicable	Not Applicable
	"Cocaine"	"T40.5"	"Dec., 2017"	"2017/12"	1313	Not Applicable	Not Applicable
"Total"	"Cocaine"	"T40.5"			39478	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Jan., 2014"	"2014/01"	243	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Feb., 2014"	"2014/02"	245	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Mar., 2014"	"2014/03"	257	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Apr., 2014"	"2014/04"	203	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"May, 2014"	"2014/05"	194	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Jun., 2014"	"2014/06"	230	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Jul., 2014"	"2014/07"	245	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Aug., 2014"	"2014/08"	230	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Sep., 2014"	"2014/09"	199	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Oct., 2014"	"2014/10"	215	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Nov., 2014"	"2014/11"	207	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Dec., 2014"	"2014/12"	213	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Jan., 2015"	"2015/01"	263	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Feb., 2015"	"2015/02"	233	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Mar., 2015"	"2015/03"	280	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Apr., 2015"	"2015/04"	227	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"May, 2015"	"2015/05"	259	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Jun., 2015"	"2015/06"	228	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Jul., 2015"	"2015/07"	245	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Aug., 2015"	"2015/08"	229	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Sep., 2015"	"2015/09"	252	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Oct., 2015"	"2015/10"	260	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Nov., 2015"	"2015/11"	224	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Dec., 2015"	"2015/12"	220	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Jan., 2016"	"2016/01"	216	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Feb., 2016"	"2016/02"	249	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Mar., 2016"	"2016/03"	258	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Apr., 2016"	"2016/04"	223	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"May, 2016"	"2016/05"	229	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Jun., 2016"	"2016/06"	235	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Jul., 2016"	"2016/07"	280	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Aug., 2016"	"2016/08"	280	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Sep., 2016"	"2016/09"	231	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Oct., 2016"	"2016/10"	220	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Nov., 2016"	"2016/11"	207	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Dec., 2016"	"2016/12"	252	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Jan., 2017"	"2017/01"	256	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Feb., 2017"	"2017/02"	206	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Mar., 2017"	"2017/03"	239	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Apr., 2017"	"2017/04"	199	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"May, 2017"	"2017/05"	229	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Jun., 2017"	"2017/06"	187	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Jul., 2017"	"2017/07"	229	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Aug., 2017"	"2017/08"	218	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Sep., 2017"	"2017/09"	202	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Oct., 2017"	"2017/10"	179	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Nov., 2017"	"2017/11"	195	Not Applicable	Not Applicable
	"Other and unspecified narcotics"	"T40.6"	"Dec., 2017"	"2017/12"	178	Not Applicable	Not Applicable
"Total"	"Other and unspecified narcotics"	"T40.6"			10998	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Jan., 2014"	"2014/01"	39	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Feb., 2014"	"2014/02"	23	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Mar., 2014"	"2014/03"	30	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Apr., 2014"	"2014/04"	26	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"May, 2014"	"2014/05"	46	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Jun., 2014"	"2014/06"	43	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Jul., 2014"	"2014/07"	32	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Aug., 2014"	"2014/08"	31	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Sep., 2014"	"2014/09"	32	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Oct., 2014"	"2014/10"	30	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Nov., 2014"	"2014/11"	43	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Dec., 2014"	"2014/12"	46	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Jan., 2015"	"2015/01"	36	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Feb., 2015"	"2015/02"	43	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Mar., 2015"	"2015/03"	47	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Apr., 2015"	"2015/04"	46	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"May, 2015"	"2015/05"	53	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Jun., 2015"	"2015/06"	43	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Jul., 2015"	"2015/07"	44	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Aug., 2015"	"2015/08"	62	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Sep., 2015"	"2015/09"	44	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Oct., 2015"	"2015/10"	42	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Nov., 2015"	"2015/11"	52	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Dec., 2015"	"2015/12"	48	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Jan., 2016"	"2016/01"	56	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Feb., 2016"	"2016/02"	65	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Mar., 2016"	"2016/03"	69	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Apr., 2016"	"2016/04"	48	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"May, 2016"	"2016/05"	65	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Jun., 2016"	"2016/06"	74	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Jul., 2016"	"2016/07"	55	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Aug., 2016"	"2016/08"	57	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Sep., 2016"	"2016/09"	63	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Oct., 2016"	"2016/10"	44	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Nov., 2016"	"2016/11"	57	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Dec., 2016"	"2016/12"	64	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Jan., 2017"	"2017/01"	73	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Feb., 2017"	"2017/02"	60	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Mar., 2017"	"2017/03"	71	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Apr., 2017"	"2017/04"	80	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"May, 2017"	"2017/05"	81	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Jun., 2017"	"2017/06"	80	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Jul., 2017"	"2017/07"	80	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Aug., 2017"	"2017/08"	72	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Sep., 2017"	"2017/09"	63	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Oct., 2017"	"2017/10"	61	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Nov., 2017"	"2017/11"	76	Not Applicable	Not Applicable
	"Cannabis (derivatives)"	"T40.7"	"Dec., 2017"	"2017/12"	65	Not Applicable	Not Applicable
"Total"	"Cannabis (derivatives)"	"T40.7"			2560	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Jan., 2014"	"2014/01"	1	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Feb., 2014"	"2014/02"	0	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Mar., 2014"	"2014/03"	0	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Apr., 2014"	"2014/04"	1	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"May, 2014"	"2014/05"	1	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Jun., 2014"	"2014/06"	0	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Jul., 2014"	"2014/07"	0	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Aug., 2014"	"2014/08"	0	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Sep., 2014"	"2014/09"	1	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Oct., 2014"	"2014/10"	0	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Nov., 2014"	"2014/11"	0	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Dec., 2014"	"2014/12"	0	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Jan., 2015"	"2015/01"	0	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Feb., 2015"	"2015/02"	1	Not Applicable	Not Applicable
	"Lysergide [LSD]"	"T40.8"	"Mar., 2015"	"2015/03"	0	Not Applicable	Not Applicable
